Wed May 01 19:02:49 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Wed May 01 19:03:48 EEST 2024, QuizReader, null
Wed May 01 19:03:54 EEST 2024, Exit Button, program terminated
Wed May 01 19:14:34 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Wed May 01 19:14:41 EEST 2024, QuizReader, null
Wed May 01 20:32:46 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Wed May 01 20:32:54 EEST 2024, QuizReader, null
Sat May 11 15:02:06 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sat May 11 15:02:12 EEST 2024, QuizReader, null
Sat May 11 15:39:16 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sat May 11 15:39:21 EEST 2024, QuizReader, null
Sat May 11 18:59:59 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sat May 11 19:00:08 EEST 2024, QuizReader, null
Sat May 11 19:07:12 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sat May 11 19:10:18 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Unsupported quiz type: null
Sat May 11 19:10:46 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Unsupported quiz type: null
Sat May 11 19:18:42 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sat May 11 19:18:49 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Sat May 11 19:19:58 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sat May 11 19:20:18 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Sat May 11 19:20:47 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sat May 11 19:23:22 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Sat May 11 19:24:35 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sat May 11 19:30:04 EEST 2024, Exit Button, program terminated
Sat May 11 19:31:26 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sat May 11 19:31:30 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Sat May 11 19:34:34 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sat May 11 19:34:38 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Sun May 12 17:37:19 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sun May 12 17:37:24 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Sun May 12 17:37:27 EEST 2024, Exit Button, program terminated
Sun May 12 17:37:33 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sun May 12 17:37:38 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Sun May 12 17:37:43 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sun May 12 17:38:00 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sun May 12 17:38:04 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Sun May 12 17:38:08 EEST 2024, Exit Button, program terminated
Sun May 12 17:38:13 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Sun May 12 17:38:18 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Tue May 14 15:00:06 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Tue May 14 15:00:16 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Tue May 14 16:56:07 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Tue May 14 16:56:23 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Tue May 14 16:56:34 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Tue May 14 16:56:38 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Tue May 14 16:56:49 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Tue May 14 16:57:01 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Tue May 14 16:57:11 EEST 2024, Exit Button, program terminated
Tue May 14 16:57:14 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Tue May 14 16:57:18 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Tue May 14 16:57:19 EEST 2024, Exit Button, program terminated
Tue May 14 16:57:22 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Tue May 14 16:57:23 EEST 2024, Exit Button, program terminated
Tue May 14 16:57:30 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Tue May 14 16:57:33 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Tue May 14 16:57:43 EEST 2024, Database, com.mysql.cj.jdbc.Driver
Tue May 14 16:57:49 EEST 2024, QuizReader, Server returned HTTP response code: 429 for URL: https://opentdb.com/api.php?amount=1
Tue May 14 16:57:49 EEST 2024, CmdUI, Game failed because of API problem
